datetime,open,high,low,close,volume
2018-01-01 05:30:00,13715.65,13715.65,13666.11,13680.0,6.303815
2018-01-01 05:33:00,13679.98,13679.98,13554.44,13568.0,33.709206
2018-01-01 05:36:00,13568.0,13575.0,13501.01,13575.0,29.645987
2018-01-01 05:39:00,13539.99,13575.0,13400.01,13515.26,30.696039
2018-01-01 05:42:00,13515.26,13568.66,13473.47,13556.15,23.260966
2018-01-01 05:45:00,13533.75,13547.73,13402.0,13440.03,19.607189
2018-01-01 05:48:00,13440.01,13461.23,13402.01,13440.01,20.950831
2018-01-01 05:51:00,13458.97,13459.0,13410.44,13440.01,11.179286
2018-01-01 05:54:00,13440.01,13500.06,13412.05,13499.77,20.096406
2018-01-01 05:57:00,13499.77,13550.87,13472.61,13521.12,26.302718
2018-01-01 06:00:00,13500.0,13545.37,13479.79,13538.73,15.967763
2018-01-01 06:03:00,13538.73,13545.37,13502.11,13529.49,12.557132
2018-01-01 06:06:00,13529.4,13529.4,13500.0,13500.0,20.888088
2018-01-01 06:09:00,13500.0,13509.98,13461.74,13499.97,18.461142
2018-01-01 06:12:00,13498.62,13498.62,13450.0,13470.41,12.029912
2018-01-01 06:15:00,13494.65,13550.87,13450.0,13550.87,34.692928
2018-01-01 06:18:00,13545.3,13690.87,13521.34,13535.0,30.523376
2018-01-01 06:21:00,13574.85,13603.76,13531.99,13548.2,23.848086
2018-01-01 06:24:00,13548.2,13584.65,13499.98,13510.0,21.704467
2018-01-01 06:27:00,13528.98,13574.05,13452.56,13529.01,30.930862
2018-01-01 06:30:00,13528.99,13571.74,13481.82,13530.98,9.865947
2018-01-01 06:33:00,13530.98,13530.98,13481.82,13510.85,17.731324
2018-01-01 06:36:00,13520.76,13520.76,13453.0,13453.0,9.125183
2018-01-01 06:39:00,13460.0,13479.0,13402.28,13469.99,24.721129
2018-01-01 06:42:00,13436.01,13479.0,13426.9,13445.63,11.09395
2018-01-01 06:45:00,13469.99,13517.78,13445.63,13492.09,17.948963
2018-01-01 06:48:00,13492.09,13578.0,13489.98,13578.0,12.827724
2018-01-01 06:51:00,13579.98,13595.89,13541.36,13586.0,19.00251
2018-01-01 06:54:00,13586.0,13586.0,13513.91,13568.27,25.832127
2018-01-01 06:57:00,13568.27,13584.98,13534.55,13560.0,12.250434
2018-01-01 07:00:00,13559.99,13559.99,13525.02,13529.84,10.926727
2018-01-01 07:03:00,13529.84,13550.68,13477.2,13520.0,16.001681
2018-01-01 07:06:00,13520.0,13521.0,13477.2,13519.97,12.808595
2018-01-01 07:09:00,13515.9,13520.3,13450.98,13450.98,17.20432
2018-01-01 07:12:00,13450.98,13475.0,13430.0,13440.01,17.427082
2018-01-01 07:15:00,13440.01,13440.01,13377.0,13380.6,27.884513
2018-01-01 07:18:00,13401.09,13440.01,13349.0,13400.0,30.109123
2018-01-01 07:21:00,13400.0,13400.0,13320.01,13325.0,17.292603
2018-01-01 07:24:00,13325.0,13325.02,13200.81,13230.42,40.42438
2018-01-01 07:27:00,13230.42,13230.47,13155.38,13203.06,33.218691
2018-01-01 07:30:00,13203.0,13344.02,13202.03,13317.34,28.000047
2018-01-01 07:33:00,13317.4,13400.0,13317.38,13400.0,25.384397
