datetime,open,high,low,close,volume
"14,07,23 17:19",30949.66,30951.27,30836.87,30905.99,274.57648
"14,07,23 17:04",31195.79,31195.8,31167.82,31178.52,37.46288
"14,07,23 16:49",31226.23,31246,31226.23,31245.99,36.47749
"14,07,23 16:34",31197.18,31197.18,31156.35,31163.72,54.0688
"14,07,23 16:19",31248.84,31248.84,31240,31247.92,21.59826
"14,07,23 16:04",31243.55,31243.56,31243.55,31243.55,17.32481
"14,07,23 15:49",31256.9,31256.91,31233.9,31233.9,66.49662
"14,07,23 15:34",31314.33,31321.88,31314.33,31318,11.93495
"14,07,23 15:19",31341.85,31360.11,31336.56,31350.77,89.83906
"14,07,23 15:04",31284.27,31284.27,31268.7,31273.67,27.41541
"14,07,23 14:49",31218.85,31230.96,31216.52,31216.52,12.97382
"14,07,23 14:34",31231.79,31249.78,31210.39,31249.78,33.08239
"14,07,23 14:19",31198.51,31227.59,31198.5,31225.78,24.88913
"14,07,23 14:04",31226.95,31238.8,31226.72,31227.15,16.91458
"14,07,23 13:49",31216.67,31232.55,31216.67,31227.28,31.98351
"14,07,23 13:34",31147.32,31147.32,31128.63,31128.64,6.56304
"14,07,23 13:19",31155.04,31155.04,31148.51,31148.51,17.34398
"14,07,23 13:04",31108.83,31108.83,31108.82,31108.82,6.89113
"14,07,23 12:49",31163.6,31163.6,31148,31148,15.75595
"14,07,23 12:34",31191.49,31191.5,31180.54,31180.54,26.67573
"14,07,23 12:19",31188.9,31188.9,31180.26,31186.81,42.86998
"14,07,23 12:04",31213.84,31213.85,31209.53,31209.53,17.55654
"14,07,23 11:49",31200.1,31206,31200.1,31205.99,8.19722
"14,07,23 11:34",31203.59,31203.59,31200,31200.01,10.21079
"14,07,23 11:19",31184.04,31184.04,31176.72,31176.73,16.66718
"14,07,23 11:04",31163.41,31163.42,31160.05,31160.06,8.60589
"14,07,23 10:49",31157.2,31159.1,31140.84,31140.85,20.51528
"14,07,23 10:34",31128.81,31146.01,31128.81,31135.28,18.75484
"14,07,23 10:19",31150,31156.83,31146,31156.83,16.52123
"14,07,23 10:04",31171.85,31171.85,31168.76,31171.63,13.08832
"14,07,23 09:49",31216.88,31219.59,31214.7,31215.99,8.83681
"14,07,23 09:34",31166.51,31166.52,31149.33,31152.39,47.2694
"14,07,23 09:19",31181.98,31181.99,31179,31179.01,16.32292
"14,07,23 09:04",31228.56,31228.56,31227.01,31227.02,4.4306
"14,07,23 08:49",31232.72,31235.01,31230.2,31230.21,6.41099
"14,07,23 08:34",31218.01,31229.99,31218,31229.99,10.71448
"14,07,23 08:19",31216.56,31216.56,31208.01,31208.01,8.77241
"14,07,23 08:04",31164,31164.01,31152.26,31157.52,24.53004
"14,07,23 07:49",31187.7,31187.7,31152.8,31169.99,81.68224
"14,07,23 07:34",31215.74,31215.75,31204.05,31204.06,34.39395
"14,07,23 07:19",31268.42,31268.42,31244.44,31252,68.2135
"14,07,23 07:04",31339.34,31339.35,31310.44,31310.45,26.25629
"14,07,23 06:49",31315.6,31315.61,31315.6,31315.61,6.06244
"14,07,23 06:34",31319.48,31332.56,31314.48,31332.56,28.3646
"14,07,23 06:19",31384.92,31385.2,31384.92,31385.19,24.54099
